Entity,Images
Manipur University,"['https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Question_book-new.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/6c/The_Prime_Minister%2C_Shri_Narendra_Modi_at_the_inauguration_of_the_105th_session_of_Indian_Science_Congress%2C_at_Manipur_University%2C_in_Imphal.jpg']"
India,"['https://upload.wikimedia.org/wikipedia/commons/d/d0/47_Raika_School_-_eating_together_%283384824242%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/7c/Agra_Fort_DistantTaj.JPG', 'https://upload.wikimedia.org/wikipedia/commons/a/af/Aks_The_Reflection_Taj_Mahal.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/80/Asia_%28orthographic_projection%29.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/36/Axis_axis_%28Nagarhole%2C_2010%29.jpg']"
Sunita Malhotra,[]
National Council for Research in Education,[]
National Council of Educational Resear ch and T raining NCER T,[]
Ramjas School,['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg']
India,"['https://upload.wikimedia.org/wikipedia/commons/d/d0/47_Raika_School_-_eating_together_%283384824242%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/7c/Agra_Fort_DistantTaj.JPG', 'https://upload.wikimedia.org/wikipedia/commons/a/af/Aks_The_Reflection_Taj_Mahal.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/80/Asia_%28orthographic_projection%29.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/36/Axis_axis_%28Nagarhole%2C_2010%29.jpg']"
Shukhvir Singh,[]
Vinod Raina,"['https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/a7/Vinod_Raina.jpg']"
Amitabha Mukherjee,[]
Delhi,"['https://upload.wikimedia.org/wikipedia/commons/9/93/Anglo_Arabic_School%27s_Hostel_earlier_known_as_Ghaziuddin_Khan_Madrasa.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/0b/Arvind_Kejriwal_smiling_%28cropped%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/6e/Basant_Celebrations_at_Dargah.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/70/Birla_Mandir_Delhi.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/79/Building_7_jamia.JPG']"
Pramila T. Anwar,[]
Srivastava,"['https://upload.wikimedia.org/wikipedia/commons/1/1b/Semi-protection-shackle.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg']"
Arvind Kumar,['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg']
Mumbai,"['https://upload.wikimedia.org/wikipedia/commons/3/39/..Maharashtra_Flag%28INDIA%29.png', 'https://upload.wikimedia.org/wikipedia/commons/b/bb/1st_INC1885.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/95/AC-EMU-Mumbai.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a6/AMH-6748-NA_Two_views_of_the_English_fort_in_Bombay.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/ae/Bandra_Worli_Sea-Link_%28cropped%29.jpg']"
Professor M,[]
Chandra Head,[]
Shveta Uppal,[]
Satish Kumar Mishra,[]
NCER T,[]
Paheli,[]
Q&A,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Quezon,"['https://upload.wikimedia.org/wikipedia/commons/2/20/Alibijaban_Island%2C_San_Andres%2C_Quezon_Province%2C_Philippines_%285%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/da/Angelina_Tan%2C_Governor_of_Quezon_%28cropped%29.png', 'https://upload.wikimedia.org/wikipedia/commons/a/ac/Cagbalete_Island1.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/85/Famy-Real-Infanta_Road_segment%2C_Real%2C_Quezon.jpg']"
Science,"['https://upload.wikimedia.org/wikipedia/commons/9/98/200_y_Anniversary_of_Berlin_Academy_1900.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/65/2021_Survey_on_existence_of_global_warming_and_responsibility_for_climate_change_-_bar_chart.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4f/Black_hole_-_Messier_87_crop_max_res.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/6f/CMB_Timeline300_no_WMAP.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg']"
Just dig and dig and dig into all possibilities,[]
Sack Attack,[]
Student,"['https://upload.wikimedia.org/wikipedia/commons/b/bf/Bookstore_at_Tulane_University%2C_Uptown_New_Orleans%2C_August_2009.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/04/Europa-Institut_graduation.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/19/High_school_students%2C_SAS_Pudong.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/2d/Indian_schoolgirls_2.jpg']"
Paheli,[]
India,"['https://upload.wikimedia.org/wikipedia/commons/d/d0/47_Raika_School_-_eating_together_%283384824242%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/7c/Agra_Fort_DistantTaj.JPG', 'https://upload.wikimedia.org/wikipedia/commons/a/af/Aks_The_Reflection_Taj_Mahal.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/80/Asia_%28orthographic_projection%29.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/36/Axis_axis_%28Nagarhole%2C_2010%29.jpg']"
Yesterday,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
1 F OOD VARIETY,[]
India,"['https://upload.wikimedia.org/wikipedia/commons/d/d0/47_Raika_School_-_eating_together_%283384824242%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/7c/Agra_Fort_DistantTaj.JPG', 'https://upload.wikimedia.org/wikipedia/commons/a/af/Aks_The_Reflection_Taj_Mahal.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/80/Asia_%28orthographic_projection%29.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/36/Axis_axis_%28Nagarhole%2C_2010%29.jpg']"
What do we eat,[]
Rice,"['https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/ca/Brown_rice_cooked.JPG', 'https://upload.wikimedia.org/wikipedia/commons/d/d3/COLLECTIE_TROPENMUSEUM_Beeld_van_Dewi_Sri_de_rijstgodin_TMnr_60016918.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/14/Chinese_rice_grasshopper_%28Oxya_chinensis%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/01/Chloroxylon_from_India.JPG']"
Boiling,"['https://upload.wikimedia.org/wikipedia/commons/d/dd/Boiling_water_-_close_up_%28short_shutter_speed%29.ogv', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/8d/Flickr_-_cyclonebill_-_Pasta_%281%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d6/Foodlogo2.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/e2/Goblet_Glass_%28Banquet%29.svg']"
Rice,"['https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/ca/Brown_rice_cooked.JPG', 'https://upload.wikimedia.org/wikipedia/commons/d/d3/COLLECTIE_TROPENMUSEUM_Beeld_van_Dewi_Sri_de_rijstgodin_TMnr_60016918.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/14/Chinese_rice_grasshopper_%28Oxya_chinensis%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/01/Chloroxylon_from_India.JPG']"
Food ingredient,[]
Vegetable curry,[]
Elder,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Science,"['https://upload.wikimedia.org/wikipedia/commons/9/98/200_y_Anniversary_of_Berlin_Academy_1900.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/65/2021_Survey_on_existence_of_global_warming_and_responsibility_for_climate_change_-_bar_chart.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4f/Black_hole_-_Messier_87_crop_max_res.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/6f/CMB_Timeline300_no_WMAP.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg']"
What do we find,[]
Pork,"['https://upload.wikimedia.org/wikipedia/commons/9/90/01_Sch%C3%A4ufele_und_Kn%C3%B6del.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d3/02_Galizische_Spezialit%C3%A4ten%2C_Rudawka_Rymanowska_2013.JPG', 'https://upload.wikimedia.org/wikipedia/commons/b/bc/1850_le_depecage_de_porc_par_Louis_Humbert_de_Molard_1847_1898.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/fd/BCfood12.JPG', 'https://upload.wikimedia.org/wikipedia/commons/9/9c/Bacon_Explosion_finished.JPG']"
Food,"['https://upload.wikimedia.org/wikipedia/commons/4/40/Aquatic_food_web.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d8/Channelcat.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/d6/Foodlogo2.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/64/Foods_%28cropped%29.jpg']"
Vegetable,"['https://upload.wikimedia.org/wikipedia/commons/3/33/7carrots.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/7c/AUSAID_SOUTH_AFRICA_%2810672860713%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/fb/Aubergine.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/f1/Bean_field_Seabrook_Farm1a33785v.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/db/Bohne_z01.JPG']"
Wheat,"['https://upload.wikimedia.org/wikipedia/commons/2/23/CSIRO_ScienceImage_10772_Rustaffected_wheat_seedlings.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/1e/Eilensen_Mb_%282018%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d9/Flag_of_Canada_%28Pantone%29.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/c3/Flag_of_France.svg']"
Meat,"['https://upload.wikimedia.org/wikipedia/commons/0/03/Animal_Abuse_Battery_Cage_01.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/ae/Atria_slaughterhouse_in_Nurmo_Seinajoki.JPG', 'https://upload.wikimedia.org/wikipedia/commons/c/c3/Blade_steak.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/e1/CC_BY_icon.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/e1/CC_BY_icon.svg']"
Animal food,[]
2 Sources of food ingredients,[]
Mustard seed,"['https://upload.wikimedia.org/wikipedia/commons/5/53/Ambox_current_red_Americas.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/d9/Flag_of_Canada_%28Pantone%29.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/c3/Flag_of_France.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/ba/Flag_of_Germany.svg']"
Cereal,"['https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/a6/Dried_Cereal_grains_and_other_similar_products_in_Glass_jars_in_the_Herbarium_collection_at_Leiden.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d6/Foodlogo2.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/ef/Green_rice_sheaves_planted_in_a_paddy_field_with_long_shadows_at_golden_hour_in_Don_Det_Laos.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/fa/Les_Plantes_Cultivades._Cereals._Imatge_119.jpg']"
Goat,"['https://upload.wikimedia.org/wikipedia/commons/5/55/A_white_irish_goat.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/6c/Amalthea_Julien_Louvre_CC230.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/5f/Angora_001.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/6f/Asseta_Lompo_with_her_goats.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/31/Atlit-Yam_%E2%80%93_Horn_Cores_of_goat.JPG']"
Curd,"['https://upload.wikimedia.org/wikipedia/commons/4/46/Cheese_Curds_with_scale_measurement.png', 'https://upload.wikimedia.org/wikipedia/commons/f/f2/Edit-clear.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/f1/Fabrication_du_Beaufort_%2811%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d6/Foodlogo2.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/df/Kaimi%C5%A1ka_var%C5%A1k%C4%97.JPG']"
Animal,"['https://upload.wikimedia.org/wikipedia/commons/6/64/20090730_020239_Rotifer.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/5c/20191203_Anomalocaris_canadensis.png', 'https://upload.wikimedia.org/wikipedia/commons/f/f9/A_colourful_Sponge_on_the_Fathom.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/1a/Alexander_Coosemans_-_Still_Life_with_Lobster_and_Oysters.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/aa/Amphiporus_angulatus.png']"
Plant,"['https://upload.wikimedia.org/wikipedia/commons/1/14/Barbara_McClintock_%281902-1992%29_shown_in_her_laboratory_in_1947.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/31/Diversity_of_plants_%28Streptophyta%29_version_2.png', 'https://upload.wikimedia.org/wikipedia/commons/3/31/Diversity_of_plants_%28Streptophyta%29_version_2.png', 'https://upload.wikimedia.org/wikipedia/commons/c/cf/Eenbruinigherfstblad.jpg']"
Leaf vegetable,"['https://upload.wikimedia.org/wikipedia/commons/4/4b/Kale-Bundle.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/1b/More_Liponda.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/ca/Ong_choy_water_spinach.png', 'https://upload.wikimedia.org/wikipedia/commons/0/0d/Pansotti_alle_noci_01.JPG']"
Root,"['https://upload.wikimedia.org/wikipedia/commons/8/87/Adventitious_roots_on_Odontonema_aka_Firespike.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/42/Aerial_root.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/df/ArabidopsisLatRoot.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/96/CSIRO_ScienceImage_11626_Barley_root.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg']"
Pumpkin,"['https://upload.wikimedia.org/wikipedia/commons/5/53/Ambox_current_red_Americas.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/76/Big_Max_at_Dutchess_County_Fair.JPG', 'https://upload.wikimedia.org/wikipedia/commons/4/48/Calabaza_%286311590182%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/ca/CompetitivePumpkins.jpg']"
Primary root,[]
Sprout,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Plant,"['https://upload.wikimedia.org/wikipedia/commons/1/14/Barbara_McClintock_%281902-1992%29_shown_in_her_laboratory_in_1947.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/31/Diversity_of_plants_%28Streptophyta%29_version_2.png', 'https://upload.wikimedia.org/wikipedia/commons/3/31/Diversity_of_plants_%28Streptophyta%29_version_2.png', 'https://upload.wikimedia.org/wikipedia/commons/c/cf/Eenbruinigherfstblad.jpg']"
Part of a plant,[]
Chana,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Rap (painting technique),[]
