Entity,Images
Motion,"['https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/d0/Motor_cycle_stunt2_amk.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/6f/Stylised_atom_with_three_Bohr_model_orbits_and_stylised_nucleus.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/96/Symbol_category_class.svg']"
Periodic motion,[]
Activity 7 (Buddhism),[]
Hindu temple,"['https://upload.wikimedia.org/wikipedia/commons/7/74/12th_century_carving_exquisite_detail%2C_right_down_to_her_fingernails_Chennakesava_temple_at_Somanathapura%2C_Karnataka%2C_India.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/80/1880_sketch_of_early_6th_century_Deogarh_Dashavatara_Hindu_temple_plan.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/30/1_Om.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/88/1_Virupaksha_temple_Gopuram_Hampi_Vijayanagar_India.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/0f/5th_century_Hindu_temples_Eran_Madhya_Pradesh%2C_plan_sketched_in_1880.jpg']"
This pendulum,[]
Let it go,[]
 pendulum swing,[]
Tabla,"['https://upload.wikimedia.org/wikipedia/commons/5/5e/6_ancient_drum_types_of_Madhya_Pradesh%2C_Indian_subcontinent.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_India.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/ff/GClef.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/ec/Keharwa_Taal_written_in_Vishnu_Narayan_Bhatkhande_Notation.png']"
Mode of transport,"['https://upload.wikimedia.org/wikipedia/commons/4/49/Airfrance.a318-100.f-guga.arp.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/53/Ambox_current_red_Americas.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/47/Chowringhee_Square%2C_Calcutta_in_1945.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/3e/I-80_Eastshore_Fwy.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/24/ICE1_Schellenberg.jpg']"
System of measurement,"['https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/30/International_System_Of_Units_Logo_.png', 'https://upload.wikimedia.org/wikipedia/commons/3/30/International_System_Of_Units_Logo_.png', 'https://upload.wikimedia.org/wikipedia/commons/0/00/MetricImperialUSCustomaryUnits.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Question_book-new.svg']"
World Heritage Site,"['https://upload.wikimedia.org/wikipedia/commons/0/01/80_-_Machu_Picchu_-_Juin_2009_-_edit.2.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/bf/Aegopodium_podagraria1_ies.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/3b/Paisaje_en_Punta_Pitt%2C_isla_de_San_Crist%C3%B3bal%2C_islas_Gal%C3%A1pagos%2C_Ecuador%2C_2015-07-24%2C_DD_75.JPG']"
Rotation,"['https://upload.wikimedia.org/wikipedia/commons/6/61/AxialTiltObliquity.png', 'https://upload.wikimedia.org/wikipedia/commons/0/00/Crab_Nebula.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/5c/Earth-moon.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/54/Flight_dynamics_with_text.png', 'https://upload.wikimedia.org/wikipedia/commons/5/5f/He1523a.jpg']"
Rectilinear motion,[]
Position,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Distance,"['https://upload.wikimedia.org/wikipedia/commons/9/97/Distance_between_sets.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/6c/Distance_board_in_Vizag.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/40/Distancedisplacement.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/79/Greatcircle_Jetstream_routes.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/08/Manhattan_distance.svg']"
Slow motion,"['https://upload.wikimedia.org/wikipedia/commons/4/41/Global_thinking.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/f1/HS-100-deck-ampex.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/29/OvercrankingTimeline.png', 'https://upload.wikimedia.org/wikipedia/commons/f/f5/Speed_ramping.ogv', 'https://upload.wikimedia.org/wikipedia/commons/9/96/Symbol_category_class.svg']"
Moon,"['https://upload.wikimedia.org/wikipedia/commons/8/89/243_ida_crop.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/cd/ALSEP_AS17-134-20500.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8f/AS17-145-22224.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/cf/Aldrin_Looks_Back_at_Tranquility_Base_-_GPN-2000-001102.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/f3/Apollo_17_AS17-140-21497.jpg']"
Classr oom,[]
Did the ball move along a straight line 2,[]
Foot length,[]
Foot length,[]
Air transport,['https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg']
Five kilometre,[]
Motion of a child on a swing,[]
Sewing needle,"['https://upload.wikimedia.org/wikipedia/commons/2/27/A_depiction_of_needle.JPG', 'https://upload.wikimedia.org/wikipedia/commons/a/a8/Aiguille_os_246.1_Global.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/ef/Emojione_1F458.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/ba/MODOHirsch.jpg']"
Bicycle wheel,"['https://upload.wikimedia.org/wikipedia/commons/d/de/2010_Cervelo_RS_03.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/Bicycle_diagram-en.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/76/Bicycle_rim_diagrams_01.png', 'https://upload.wikimedia.org/wikipedia/commons/7/7f/Bicycle_rim_diagrams_03.png', 'https://upload.wikimedia.org/wikipedia/commons/9/94/Bicycle_rim_diagrams_04.png']"
Pace (unit),"['https://upload.wikimedia.org/wikipedia/commons/a/aa/Capitoline_she-wolf_Musei_Capitolini_MC1181.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a6/Nuvola_apps_kruler.svg']"
Metre,"['https://upload.wikimedia.org/wikipedia/commons/e/e5/Appareil_Ib%C3%A1%C3%B1ez.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/08/GPS-IIR.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/HasslerCollection_001.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/30/International_System_Of_Units_Logo_.png']"
Person,"['https://upload.wikimedia.org/wikipedia/commons/4/45/MontreGousset001.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/bb/Paul_Klee_WI_%28In_Memoriam%29_1938.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/1b/Semi-protection-shackle.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Radha,"['https://upload.wikimedia.org/wikipedia/commons/7/71/3_Nichal_Chand_%28attr%29_Krishna_Celebrates_Holi_with_Radha_and_the_Gopis_1750-60_Boston_MFA.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/5e/A_Glimpse_of_the_Loved_One_%286124511255%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/69/Aum_Om_navy_blue_circle_hollow_coral.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/67/Aum_Om_red.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/e5/Bal_Radha.jpg']"
Knitting needle,"['https://upload.wikimedia.org/wikipedia/commons/7/72/Breinaalden_in_verschillende_diktes.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a9/Cable_Needles.JPG', 'https://upload.wikimedia.org/wikipedia/commons/9/94/Circular_knitting_needles.JPG', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/7e/Detailed_close_up_of_multi-coloured_knitting_stitches.jpg']"
Sewing needle,"['https://upload.wikimedia.org/wikipedia/commons/2/27/A_depiction_of_needle.JPG', 'https://upload.wikimedia.org/wikipedia/commons/a/a8/Aiguille_os_246.1_Global.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/ef/Emojione_1F458.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/ba/MODOHirsch.jpg']"
Fan,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/7e/Vector_search_icon.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Natural rubber,"['https://upload.wikimedia.org/wikipedia/commons/b/b4/Ambox_important.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/42/Caoutchouc_naturel.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/2b/Ceylon_rubber.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/fe/Compression_Molding_Machine.jpg']"
Circle,"['https://upload.wikimedia.org/wikipedia/commons/2/2a/Apollonius_circle_definition_labels.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b2/CIRCLE_LINES-en.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b2/CIRCLE_LINES-en.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/03/Circle-withsegments.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/ce/Circle_Area.svg']"
Reflection (optics),[]
Car,"['https://upload.wikimedia.org/wikipedia/commons/7/73/07-08_Chevrolet_Suburban_LT.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/71/1885Benz.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/dc/1923_Ford_Model_T_UPS_interior.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/77/2011_Nissan_Leaf_SL_--_10-28-2011.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/eb/2011_Toyota_Corolla_--_NHTSA.jpg']"
Night,"['https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/00/Crab_Nebula.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/b5/Cumulus_clouds_in_fair_weather.jpeg', 'https://upload.wikimedia.org/wikipedia/commons/5/5c/Earth-moon.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/7f/En-Night-article.ogg']"
Dark room,[]
Candle,"['https://upload.wikimedia.org/wikipedia/commons/c/c9/7candles.JPG', 'https://upload.wikimedia.org/wikipedia/commons/2/29/Anatomy_of_a_candle_flame.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/47/Candle_Wick.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/3d/Candle_With_Gold_Stand.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/23/Candles.jpg']"
Light,"['https://upload.wikimedia.org/wikipedia/commons/a/a4/Christiaan_Huygens-painting.jpeg', 'https://upload.wikimedia.org/wikipedia/commons/7/70/Colorful_artificial_lighting_at_night.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/f1/EM_spectrum.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/d9/Linear_visible_spectrum.svg']"
Light,"['https://upload.wikimedia.org/wikipedia/commons/a/a4/Christiaan_Huygens-painting.jpeg', 'https://upload.wikimedia.org/wikipedia/commons/7/70/Colorful_artificial_lighting_at_night.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/f1/EM_spectrum.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/d9/Linear_visible_spectrum.svg']"
Sun,"['https://upload.wikimedia.org/wikipedia/commons/2/2c/-_panoramio_%28785%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/da/171879main_LimbFlareJan12_lg.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/ee/2017_Total_Solar_Eclipse_%2835909952653%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/00/Crab_Nebula.jpg']"
Night,"['https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/00/Crab_Nebula.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/b5/Cumulus_clouds_in_fair_weather.jpeg', 'https://upload.wikimedia.org/wikipedia/commons/5/5c/Earth-moon.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/7f/En-Night-article.ogg']"
Sun,"['https://upload.wikimedia.org/wikipedia/commons/2/2c/-_panoramio_%28785%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/da/171879main_LimbFlareJan12_lg.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/ee/2017_Total_Solar_Eclipse_%2835909952653%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/00/Crab_Nebula.jpg']"
Sun,"['https://upload.wikimedia.org/wikipedia/commons/2/2c/-_panoramio_%28785%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/da/171879main_LimbFlareJan12_lg.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/ee/2017_Total_Solar_Eclipse_%2835909952653%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/00/Crab_Nebula.jpg']"
Transparent,[]
Transparent object,[]
Tracing paper,"['https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/f2/Edit-clear.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/ef/Emojione_1F458.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/1f/GatewayTracingNewRoll.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/62/Newone_-_multy_color_tracing_paper.jpg']"
Table 11,[]
Pigment,"['https://upload.wikimedia.org/wikipedia/commons/5/5b/Accademia_-_Miracle_of_the_Slave_by_Tintoretto.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/ba/Complex_reflectance.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/ec/Copper_phthalocyanine.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/fb/Indian_pigments.jpg']"
What EXACTL Y ARE SHADOWS Activity 2,[]
Shadow,"['https://upload.wikimedia.org/wikipedia/commons/f/f5/Apollo_9_astronaut_Dave_Scott.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/6f/British_Library_Gate_Shadow.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/11/CloudsShadow.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b4/Cumulus_cloud_shadows_1.jpg']"
Spread a sheet of paper on the ground,[]
Drawing,"['https://upload.wikimedia.org/wikipedia/commons/1/18/2-punktperspektive.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/26/Da_Vinci_Vitruve_Luc_Viatour_%28cropped%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/c5/Edward_Law._Pencil_drawing_by_H._M._Raeburn%2C_1909._Wellcome_V0003431.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/7a/Galileo_moon_phases.jpg']"
Shadow,"['https://upload.wikimedia.org/wikipedia/commons/f/f5/Apollo_9_astronaut_Dave_Scott.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/6f/British_Library_Gate_Shadow.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/11/CloudsShadow.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b4/Cumulus_cloud_shadows_1.jpg']"
Night,"['https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/00/Crab_Nebula.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/b5/Cumulus_clouds_in_fair_weather.jpeg', 'https://upload.wikimedia.org/wikipedia/commons/5/5c/Earth-moon.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/7f/En-Night-article.ogg']"
Activity 3,[]
Association football,"['https://upload.wikimedia.org/wikipedia/commons/e/ec/2._SNL_-_27._krog_-_Nafta_1903_0-0_%280-0%29_Roltek_Dob_-_1._pol%C4%8Das.webm', 'https://upload.wikimedia.org/wikipedia/commons/a/a2/Ancient_Greek_Football_Player.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/3c/AstonVilla1896-97.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/51/British_Ladies_Football_Club.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/36/Cambridge_rules_1856.png']"
Shining,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
 opaque object,[]
Shadow,"['https://upload.wikimedia.org/wikipedia/commons/f/f5/Apollo_9_astronaut_Dave_Scott.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/6f/British_Library_Gate_Shadow.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/11/CloudsShadow.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b4/Cumulus_cloud_shadows_1.jpg']"
Torah,"['https://upload.wikimedia.org/wikipedia/commons/7/75/Aleppo_Codex_Joshua_1_1.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/01/Bible.malmesbury.arp.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/1b/Coffre_et_rouleau_de_Torah_ayant_appartenu_%C3%A0_Abraham_de_Camondo_chef_de_la_communaut%C3%A9_juive_de_Constantinople_1860_-_Mus%C3%A9e_d%27Art_et_d%27Histoire_du_Juda%C3%AFsme.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/98/Diagram_of_the_Supplementary_Hypothesis.jpg']"
Paper,"['https://upload.wikimedia.org/wikipedia/commons/7/7b/20221129_low_quality_paper.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/eb/Book_suffering_from_slow_fire.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/7f/Chinese_hemp_paper_western_han.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/c4/Coloured%2C_textured_craft_card.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg']"
Computer screen,[]
Ground wall,[]
Shape,"['https://upload.wikimedia.org/wikipedia/commons/b/b9/Area.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/38/Basic_shapes.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/26/Plastic_vormenstoof_of_puzzelbal_van_%E2%80%9CTupperware_Toy%E2%80%9D%2C_objectnr_83212.JPG', 'https://upload.wikimedia.org/wikipedia/commons/e/eb/Polygon_types.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/5d/Similar-geometric-shapes.svg']"
4,"['https://upload.wikimedia.org/wikipedia/commons/8/87/BKV_m_4_jms.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/d8/Evolution4glyph.png', 'https://upload.wikimedia.org/wikipedia/commons/6/6b/I-p-c-s_org_journal.TIF', 'https://upload.wikimedia.org/wikipedia/commons/e/e3/ICS_Four.svg']"
Shadow,"['https://upload.wikimedia.org/wikipedia/commons/f/f5/Apollo_9_astronaut_Dave_Scott.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/6f/British_Library_Gate_Shadow.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/11/CloudsShadow.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b4/Cumulus_cloud_shadows_1.jpg']"
Box,"['https://upload.wikimedia.org/wikipedia/commons/c/cd/600sojudrinkbox.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/7e/Ammunition_Boxes%2C_MDVMHC.JPG', 'https://upload.wikimedia.org/wikipedia/commons/1/18/Archive_boxes.JPG', 'https://upload.wikimedia.org/wikipedia/commons/a/a1/Box_%28231630111%29.jpeg', 'https://upload.wikimedia.org/wikipedia/commons/5/50/Box_with_cover_MET_DP241878.jpg']"
Shadows,[]
Red rose,['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg']
Shortest shadow,[]
Fig. 11,[]
INHOLE CAMERA,[]
Pinhole camera,"['https://upload.wikimedia.org/wikipedia/commons/5/5a/AV1-Lochkamera.JPG', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/41/Global_thinking.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/41/Ice_Cream_Dreams%2C_by_Chris_Marchant.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/7a/Light_behaviour_through_pinhole.svg']"
Box,"['https://upload.wikimedia.org/wikipedia/commons/c/cd/600sojudrinkbox.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/7e/Ammunition_Boxes%2C_MDVMHC.JPG', 'https://upload.wikimedia.org/wikipedia/commons/1/18/Archive_boxes.JPG', 'https://upload.wikimedia.org/wikipedia/commons/a/a1/Box_%28231630111%29.jpeg', 'https://upload.wikimedia.org/wikipedia/commons/5/50/Box_with_cover_MET_DP241878.jpg']"
Piano,"['https://upload.wikimedia.org/wikipedia/commons/2/26/Broadwood_grand_square_action.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/c6/CristoforiPiano1726LeipzigKeyboardView.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/bd/D274.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/3a/DisklavierPlayer.jpg']"
Box,"['https://upload.wikimedia.org/wikipedia/commons/c/cd/600sojudrinkbox.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/7e/Ammunition_Boxes%2C_MDVMHC.JPG', 'https://upload.wikimedia.org/wikipedia/commons/1/18/Archive_boxes.JPG', 'https://upload.wikimedia.org/wikipedia/commons/a/a1/Box_%28231630111%29.jpeg', 'https://upload.wikimedia.org/wikipedia/commons/5/50/Box_with_cover_MET_DP241878.jpg']"
Tracing paper,"['https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/f2/Edit-clear.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/ef/Emojione_1F458.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/1f/GatewayTracingNewRoll.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/62/Newone_-_multy_color_tracing_paper.jpg']"
Tracing paper,"['https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/f2/Edit-clear.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/ef/Emojione_1F458.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/1f/GatewayTracingNewRoll.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/62/Newone_-_multy_color_tracing_paper.jpg']"
Pinhole camera,"['https://upload.wikimedia.org/wikipedia/commons/5/5a/AV1-Lochkamera.JPG', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/41/Global_thinking.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/41/Ice_Cream_Dreams%2C_by_Chris_Marchant.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/7a/Light_behaviour_through_pinhole.svg']"
Sun,"['https://upload.wikimedia.org/wikipedia/commons/2/2c/-_panoramio_%28785%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/da/171879main_LimbFlareJan12_lg.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/ee/2017_Total_Solar_Eclipse_%2835909952653%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/00/Crab_Nebula.jpg']"
Sun,"['https://upload.wikimedia.org/wikipedia/commons/2/2c/-_panoramio_%28785%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/da/171879main_LimbFlareJan12_lg.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/ee/2017_Total_Solar_Eclipse_%2835909952653%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/00/Crab_Nebula.jpg']"
Solar eclipse,"['https://upload.wikimedia.org/wikipedia/commons/3/34/%28closeup%29_Solar_annular_eclipse_of_January_15%2C_2010_in_Bangui%2C_Central_African_Republic.JPG', 'https://upload.wikimedia.org/wikipedia/commons/7/72/-Phase_of_the_moon_NO.16.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/37/1919_eclipse_positive.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/58/2008-08-01_Solar_eclipse_progression_with_timestamps.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/91/2013_Solar_Eclipse_Libreville.JPG']"
Pinhole,[]
Solar Eclipse,[]
Fig (symbol),[]
Sun,"['https://upload.wikimedia.org/wikipedia/commons/2/2c/-_panoramio_%28785%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/da/171879main_LimbFlareJan12_lg.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/ee/2017_Total_Solar_Eclipse_%2835909952653%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/00/Crab_Nebula.jpg']"
HIV,"['https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/01/Fran%C3%A7oise_Barr%C3%A9-Sinoussi-press_conference_Dec_06th%2C_2008-1.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4c/Gallo%2C_Robert_C._%283%29_%28cropped%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/5e/HI-virion-structure_en.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/fb/HIV-SIV-phylogenetic-tree_straight.svg']"
